question,answer,category,sub_category,fatwa_number,date,url
السلام  علیکم ورحمتہ اللہ وبرکاتہ! حضرت قرآن و احادیث کی روشنی میں رہنمائی فرمائیں کہ کیا ’’ ماہِ  رمضان‘‘ میں فوت ہونے والے کا کوئی قبر کا حساب نہیں، وہ سیدھا جنت میں جائے گا ؟ جواب کا منتظر سائل جزاک اللہ خیر۔,جی ہاں ! احادیثِ مبارکہ اور علماءِ کرام کی تشریحات کے مطابق رمضان میں انتقال کرنے والا شخص اگر مؤمن اور اطاعت گزار ہو، تو وہ عذاب قبر سے محفوظ رہے گا، البتہ اگر اطاعت گزار نہ ہو بلکہ گنہگار ہو، تو اسے ایک لمحہ کے لئے جنبش تو ضرور ہو گی، لیکن اس کے بعد فورا ہی اس سے ہمیشہ کے لئے عذاب قبر اٹھا لیا جائے گا۔,عقائد,قیامت و آخرت,40818,,https://www.onlinefatawa.com/view_fatwa_unicode/40818/%DA%A9%DB%8C%D8%A7-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%DB%8C%DA%BA-%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84-%DA%A9%D8%B1%D9%86%DB%92-%D9%88%D8%A7%D9%84%D8%A7-%D8%B4%D8%AE%D8%B5-%D8%B9%D8%B0%D8%A7%D8%A8%D9%90-%D9%82%D8%A8%D8%B1-%D8%B3%DB%92-%D9%85%D8%AD%D9%81%D9%88%D8%B8-%D8%B1%DB%81%DB%92-%DA%AF%D8%A7%D8%9F
سوال : جنت الفردوس میں اعلی مقام ہے یا نہیں؟,جی ہاں جنت الفردوس میں بھی اعمال کے اعتبار سے مختلف مراتب و مقامات ( ادنی واعلیٰ ) ہو نگے ۔,عقائد,قیامت و آخرت,47016,,https://www.onlinefatawa.com/view_fatwa_unicode/47016/%D8%AC%D9%86%D8%AA-%D9%85%DB%8C%DA%BA-%D8%A7%D8%B9%D9%85%D8%A7%D9%84-%DA%A9%DB%92-%D9%85%D8%B7%D8%A7%D8%A8%D9%82-%D8%AF%D8%B1%D8%AC%D8%A7%D8%AA-%D9%88-%D9%85%D9%82%D8%A7%D9%85%D8%A7%D8%AA-%DA%A9%D8%A7-%D8%A8%DB%8C%D8%A7%D9%86-
"السلام علیکم!مفتی صاحب مجھے ایک حدیث کے بارے میں پوچھنا ہے کیایہ درست ہےیا غلط؟ اگر تم دیکھو کالے جھنڈوں کو جو کہ خراسان کی طرف سے آرہے ہوں تو تم ان کے پاس جاؤ،کیونکہ"" مہدی""اللہ کے خلیفہ انہی میں ہونگے (حاکم نے کہا ہے : یہ حدیث بخاری اور مسلم کی شرائط کے موافق ہے۔",جی ہاں!یہ اور اس قسم کے مضمون پر مشتمل احادیث مختلف کتب حدیث میں موجود ہیں،جیسا کہ مندرجہ ذیل ہے ۔,قرآن و حدیث,تحقیق و تخریج حدیث,9523,,https://www.onlinefatawa.com/view_fatwa_unicode/9523/%D8%A7%D9%85%D8%A7%D9%85-%D9%85%DB%81%D8%AF%DB%8C-%DA%A9%DB%92-%D8%B8%DB%81%D9%88%D8%B1-%DA%A9%DB%92-%D9%85%D8%AA%D8%B9%D9%84%D9%82-%D8%A7%DB%8C%DA%A9-%D8%AD%D8%AF%DB%8C%D8%AB-%DA%A9%DB%8C-%D8%AA%D8%AD%D9%82%DB%8C%D9%82
کیا حدیث میں کسی کے منہ پر تعریف کرنے سے منع فرمایا گیا ہے؟ تو کیا کسی کے بنائے ہوئے کھانے یا اس کے کام کی تعریف اسکے سامنے کر سکتے ہیں ؟ یا نہیں ؟ آپ صلی اللہ علیہ وسلم کی کوئی ایسی حدیث ہے ؟ تو وضاحت کیساتھ بیان فرمائیں ۔,واضح ہو کہ آپ صلی اللہ علیہ وسلم نے بعض احادیث میں کسی کے منہ پر تعریف سے منع فرمایا ہے تا کہ ممدوح فخر و تکبر میں مبتلا نہ ہو مگر جہاں یہ شائبہ نہ ہو یا کسی کی دلجوئی ، ہمت افزائی مقصود ہو تو وہاں تعریف کرنے میں حرج نہیں،بلکہ خود آپ صلی اللہ علیہ وسلم سے بھی ثابت ہے اور عام گھروں میں یا کسی کی دعوت پر کھانے کی تعریف محض اس بناء پر ہوتی ہے تاکہ میزبان مطمئن  ہو جائے اور اسکی دلجوئی ہو ۔,قرآن و حدیث,تحقیق و تخریج حدیث,9554,2010-09-02,https://www.onlinefatawa.com/view_fatwa_unicode/9554/%DA%A9%DB%8C%D8%A7-%DA%A9%D8%B3%DB%8C-%DA%A9%DB%92-%D8%B3%D8%A7%D9%85%D9%86%DB%92-%D8%A7%D8%B3-%DA%A9%DB%8C-%D8%AA%D8%B9%D8%B1%DB%8C%D9%81-%DA%A9%DB%8C-%D8%AC%D8%A7-%D8%B3%DA%A9%D8%AA%DB%8C-%DB%81%DB%92-%D8%9F
ہم نے حدیث میں پڑھا ہے کہ کسی سے سوال کرنا منع ہے ، کسی قسم کا سوال کرنا منع ہے ، وضاحت کریں اگر ہم اپنے والدین سے کھانے کی یا  کسی اور چیز کی یا  کہیں جانے کی فرمائش کریں تو یہ بھی سوال میں شمار ہوگا اور اگر میں اپنے بھائی کو کوئی کام کہوں تو یہ بھی سوال میں آتا ہے ؟,حدیث شریف میں بھیک مانگنے اور غیر اللہ سے مافوق الاسباب مانگنے کی ممانعت کی گئی ہے ، جبکہ اپنے والدین سے کسی چیز کی خواہش ظاہر کرنا اس زمرے میں نہیں آتا، اس لیے اس میں شرعاً کوئی حرج نہیں،بلکہ بلا شبہ جائز اور درست ہے ۔,قرآن و حدیث,تحقیق و تخریج حدیث,9555,2010-09-02,https://www.onlinefatawa.com/view_fatwa_unicode/9555/%D8%BA%DB%8C%D8%B1-%D8%A7%D9%84%D9%84%DB%81-%D8%B3%DB%92--%DA%A9%D8%B3-%D9%82%D8%B3%D9%85-%DA%A9%D8%A7-%D8%B3%D9%88%D8%A7%D9%84-%DA%A9%D8%B1%D9%86%D8%A7-%D9%85%D9%85%D9%86%D9%88%D8%B9-%DB%81%DB%92%D8%9F
السلام علیکم! میرے موبائل پر ایک میسج آیا ہے جس کی میں تصدیق کرنا چاہتا ہوں ، ارشاد نبویﷺ ہے کہ ’’جس شخص کی نمازیں قضا ہوئی ہوں اور تعداد نامعلوم ہوں تو وہ رمضان کے آخری جمعہ کے دن چار رکعت نفل ایک سلام کے ساتھ پڑھے، ہر رکعت میں سورۃ الفاتحہ کے بعد آیت الکرسی سات بار سورۃ کوثر پندرہ بار پڑھے۔ اگر سات سو سال کی نمازیں بھی قضاء ہوئی ہونگی تو اس کے کفارے کے لیے یہ نماز ہے۔,مذکور حدیث من گھڑت اور موضوع ہے، چنانچہ ملا علی قاریؒ اپنی مشہور کتاب ’’الموضوعات‘‘ میں لکھتے ہیں: یہ روایت قطعی طور پر باطل ہے، اس لیے کہ یہ حدیث اجماع کے خلاف ہے، اجماع اس بات پر ہے کہ کوئی بھی عبادت سالہا سال کی چھوٹی ہوئی نمازوں کے قائم مقام نہیں ہو سکتی ہے۔,قرآن و حدیث,تحقیق و تخریج حدیث,9596,2020-10-26,https://www.onlinefatawa.com/view_fatwa_unicode/9596/%D9%82%D8%B6%D8%A7%D8%A1-%D8%B9%D9%85%D8%B1%DB%8C-%D8%B3%DB%92-%D9%85%D8%AA%D8%B9%D9%84%D9%82-%D8%B1%D9%88%D8%A7%DB%8C%D8%AA-%DA%A9%DB%8C-%D8%AA%D8%AD%D9%82%DB%8C%D9%82
میں یہ معلوم کرنا چاہتا ہوں کہ کیا یہ حدیث صحیح ہے ’’نبی کریمﷺ کا فرمان ہے کہ جس شخص کی نمازیں قضاء ہوئی ہوں ، اور تعداد معلوم نہ ہو  ،تو رمضان کے آخری جمعہ کے دن چار رکعت نفل ایک سلام سے پڑھے، ہر رکعت میں سورہ فاتحہ کے بعد آیت الکرسی سات بار، سورہ کوثر پندرہ بار پڑھیں، اگر سات سو سال کی نمازیں بھی قضاء ہوئی ہوگی ، تو اس کے کفارہ کے لیے یہ نماز ہے؟,جی ہاں! اس طرح کی ایک حدیث علامہ ابن جوزیؒ نے اپنے معروف کتاب ’’الموضوعات لابن جوزیؒ‘‘ میں نقل کر کے اس پر موضوع ہونے کا حکم لگایا ہے۔ پھر اس طرح دو رکعت نفل کا محض دو فرضوں کے برابر ہو جانا بھی قواعدِ شرعیہ کے اعتبار سے درست نہیں ، چہ جائیکہ بے شمار فرضوں کے لیے مکافات بن سکے، اس لیے اس طرزِ عمل کے موافق عمل کرنے یا دوسروں کو سکھانے و بتانے سے احتراز لازم ہے۔,قرآن و حدیث,تحقیق و تخریج حدیث,9635,2010-09-08,https://www.onlinefatawa.com/view_fatwa_unicode/9635/%D9%85%D8%B1%D9%88%D8%AC%DB%81-%D9%82%D8%B6%D8%A7%D8%A6%DB%92-%D8%B9%D9%85%D8%B1%DB%8C-%DA%A9%D8%A7%D8%AD%DA%A9%D9%85
السلام علیکم! عند الاحناف زیرِ ناف ہاتھ باندھنا کسی حدیث سے ثابت ہے؟,دورانِ نماز اگرچہ ناف کے اوپر نیچے دونوں جگہ ہاتھ باندھنا احادیث مبارکہ سے ثابت ہے، مگر سینہ پر ہاتھ باندھ کر کہنیاں پکڑ کر کھڑے ہونے کے بارے میں کوئی صحیح صریح مرفوع غیر مقطوع حدیث نہیں، البتہ عند الاحناف مندرجہ ذیل احادیث کی وجہ سے زیرِ ناف ہاتھ باندھنا زیادہ راجح ہے۔,قرآن و حدیث,تحقیق و تخریج حدیث,10190,2010-11-13,https://www.onlinefatawa.com/view_fatwa_unicode/10190/%D9%86%D9%85%D8%A7%D8%B2%D9%85%DB%8C%DA%BA--%D9%86%D8%A7%D9%81-%DA%A9%DB%92-%D9%86%DB%8C%DA%86%DB%92--%DB%81%D8%A7%D8%AA%DA%BE-%D8%A8%D8%A7%D9%86%D8%AF%DA%BE%D9%86%DB%92-%DA%A9%D8%A7%D8%AD%D8%AF%DB%8C%D8%AB-%D8%B3%DB%92-%D8%AB%D8%A8%D9%88%D8%AA
مفتی صاحب! ایک بات کی تحقیق مطلوب ہے، حضرت علی رضی اللہ عنہ کے بارے میں ایک روایت بیان کی جاتی ہے کہ ایک بار ان کی عصر کی نماز مؤخر ہو گئی تھی، تو یہ پریشان ہو کر نبی کریمﷺ کی خدمت میں آئے تو نبیﷺ نے ان سے پوچھا تھا کہ اے علی! تم نے قضاء پڑھنی ہے یا ادا؟ تو حضرت علیؓ نے عرض کیا کہ ادا پڑھنی ہے‘‘۔ پھر مجھے معلوم نہیں کہ نبیﷺ نے خود سورج کو اشارہ کیا تھا یا حضرت علی ؓ نے ، تو سورج شام سے ہٹ کر عصر کے قریب آ گیا تھا، تو حضرت اس بارے میں آپ تحقیق سے بتائیں آپ کی مہربانی ہوگی۔,سوال میں مذکور الفاظ کے ساتھ تو اس کا کہیں ذکر نہیں، البتہ روح المعانی میں حضرت اسماء بنتِ عمیس رضی اللہ عنہا کی روایت کا ایک واقعہ مذکور ہے کہ ’’ایک بار آپﷺ پر وحی کا نزول ہو رہا تھا ، اور سر مبارک حضرت علی رضی اللہ عنہ سے پوچھا کہ آپ نے نمازپڑھ لی ہے؟ تو انہوں نے کہا نہیں، چنانچہ آپﷺ نے اللہ سے دعا کی کہ یا اللہ یہ آپ کی اور آپ کے رسول کی اطاعت میں مصروف تھا، لہٰذا اس کے لیے سورج کو واپس لوٹا دیں۔ تو اللہ تعالیٰ نے دعا کو قبول فرما کر سورج کو لوٹایا‘‘۔ حضرت اسماء رضی اللہ عنہا فرماتی ہیں کہ ، میں نے خود سورج غروب ہونے کے بعد طلوع ہوتے دیکھا ، اور اس کی روشنی زمین پر پڑی ، اور فرماتی ہیں کہ یہ خیبر میں مقام صہباء کا واقعہ ہے، مگر صاحبِ روح المعانی فرماتے ہیں کہ اس واقعہ کی صحت میں اختلاف ہے۔ روح المعانی اصل عبارت ملاحظہ ہو: اگر یہ واقعۃً بھی درست ہو تو یہ آپﷺ کا معجزہ ہے اور اس میں کسی کا اختلاف نہیں۔ واللہ أعلم بالصواب!,قرآن و حدیث,تحقیق و تخریج حدیث,9736,2010-09-16,https://www.onlinefatawa.com/view_fatwa_unicode/9736/%D8%AD%D8%B6%D8%B1%D8%AA-%D8%B9%D9%84%DB%8C-%D8%B1%D8%B6%DB%8C-%D8%A7%D9%84%D9%84%DB%81-%D8%B9%D9%86%DB%81-%DA%A9%DB%8C-%D8%B7%D8%B1%D9%81-%D9%85%D9%86%D8%B3%D9%88%D8%A8-%D9%88%D8%A7%D9%82%D8%B9%DB%81-%DA%A9%DB%8C-%D8%AA%D8%AD%D9%82%DB%8C%D9%82
السلام علیکم ورحمۃ اللہ وبرکاتہ! حدیث اور حدیثِ قدسی کے درمیان کیا فرق ہے؟,واضح ہوکہ جمہور محدثین کی اصطلاح میں ’’حدیث‘‘ اس کلام کو کہا جاتاہے، جو آپﷺ کے قول وفعل اور تقریر کی طرف منسوب ہو۔ جبکہ ’’حدیث قدسی‘‘ اس کلام کو کہا جاتاہے جو آپﷺ نے اللہ تعالیٰ کی طرف نسبت کرتے ہوئے بیان کی ہو۔,قرآن و حدیث,تحقیق و تخریج حدیث,10209,2020-10-26,https://www.onlinefatawa.com/view_fatwa_unicode/10209/%D9%85%D8%B7%D9%84%D9%82-%D8%AD%D8%AF%DB%8C%D8%AB-%D8%A7%D9%88%D8%B1-%D8%AD%D8%AF%DB%8C%D8%AB-%D9%82%D8%AF%D8%B3%DB%8C-%D9%85%DB%8C%DA%BA-%D9%81%D8%B1%D9%82
